prefab_id,x_pos,y_pos,x_scale,y_scale,rotation
8,3.375000,-1.000000,1.000000,1.000000,0.000000
8,1.625000,-0.625000,1.000000,1.000000,0.000000
8,2.875000,-0.625000,1.000000,1.000000,0.000000
8,3.375000,-1.125000,1.000000,1.000000,0.000000
8,3.000000,-0.625000,1.000000,1.000000,0.000000
8,3.375000,-1.250000,1.000000,1.000000,0.000000
8,3.250000,-0.625000,1.000000,1.000000,0.000000
8,3.375000,-0.625000,1.000000,1.000000,0.000000
8,3.375000,-1.375000,1.000000,1.000000,0.000000
8,3.375000,-1.500000,1.000000,1.000000,0.000000
5,2.593750,-1.437500,1.000000,1.000000,4.712389
8,0.625000,-1.500000,1.000000,1.000000,0.000000
8,0.625000,-1.625000,1.000000,1.000000,0.000000
8,3.375000,-1.625000,1.000000,1.000000,0.000000
2,-0.718750,-5.093750,1.000000,1.000000,0.000000
0,0.406250,-4.125000,1.000000,1.000000,2.303835
7,0.843750,-4.187500,1.000000,1.000000,4.712389
6,0.312500,-3.656250,1.000000,1.000000,1.570796
6,0.843750,-4.906250,1.000000,1.000000,3.141593
2,0.750000,-5.968750,1.000000,1.000000,3.141593
8,0.500000,-4.468750,1.000000,1.000000,0.000000
8,0.500000,-4.593750,1.000000,1.000000,0.000000
8,0.625000,-4.593750,1.000000,1.000000,0.000000
8,0.750000,-4.593750,1.000000,1.000000,0.000000
8,0.875000,-4.593750,1.000000,1.000000,0.000000
8,1.000000,-4.593750,1.000000,1.000000,0.000000
8,1.125000,-4.593750,1.000000,1.000000,0.000000
8,0.500000,-4.718750,1.000000,1.000000,0.000000
3,-1.937500,-3.781250,1.000000,1.000000,0.174533
3,-1.156250,-3.718750,1.000000,1.000000,0.000000
4,-1.562500,-4.000000,1.000000,1.000000,0.000000
4,-1.437500,-4.000000,1.000000,1.000000,3.612832
4,-2.125000,-3.531250,1.000000,1.000000,0.000000
5,-2.093750,-4.906250,1.000000,1.000000,0.000000
2,5.281250,0.093750,1.000000,1.000000,3.141593
7,4.062500,0.187500,1.000000,1.000000,0.000000
8,4.625000,0.375000,1.000000,1.000000,0.000000
8,4.625000,0.250000,1.000000,1.000000,0.000000
8,4.625000,0.125000,1.000000,1.000000,0.000000
8,4.625000,-0.000000,1.000000,1.000000,0.000000
8,4.750000,0.375000,1.000000,1.000000,0.000000
8,4.500000,0.375000,1.000000,1.000000,0.000000
8,1.250000,-4.718750,1.000000,1.000000,0.000000
8,1.250000,-4.593750,1.000000,1.000000,0.000000
8,1.250000,-4.843750,1.000000,1.000000,0.000000
3,-2.031250,-6.062500,1.000000,1.000000,2.460914
5,2.593750,-2.625000,1.000000,1.000000,3.141593
5,1.406250,-2.625000,1.000000,1.000000,1.570796
0,1.312500,-0.843750,1.000000,1.000000,1.151917
0,1.562500,-1.031250,1.000000,1.000000,1.937315
1,1.375000,-1.093750,1.000000,1.000000,0.000000
8,0.750000,-3.375000,1.000000,1.000000,0.000000
8,0.625000,-3.375000,1.000000,1.000000,0.000000
8,0.625000,-3.250000,1.000000,1.000000,0.000000
8,0.625000,-3.125000,1.000000,1.000000,0.000000
8,0.625000,-3.000000,1.000000,1.000000,0.000000
8,0.625000,-2.875000,1.000000,1.000000,0.000000
8,0.625000,-2.625000,1.000000,1.000000,0.000000
8,0.625000,-2.750000,1.000000,1.000000,0.000000
8,0.625000,-2.500000,1.000000,1.000000,0.000000
8,0.625000,-2.375000,1.000000,1.000000,0.000000
8,1.500000,-3.375000,1.000000,1.000000,0.000000
8,1.375000,-3.375000,1.000000,1.000000,0.000000
8,1.000000,-3.375000,1.000000,1.000000,0.000000
8,0.875000,-3.375000,1.000000,1.000000,0.000000
8,1.125000,-3.375000,1.000000,1.000000,0.000000
8,1.250000,-3.375000,1.000000,1.000000,0.000000
8,3.375000,-2.375000,1.000000,1.000000,0.000000
8,3.375000,-2.500000,1.000000,1.000000,0.000000
8,3.375000,-2.625000,1.000000,1.000000,0.000000
8,3.375000,-2.750000,1.000000,1.000000,0.000000
8,3.375000,-2.875000,1.000000,1.000000,0.000000
8,3.375000,-3.000000,1.000000,1.000000,0.000000
8,3.375000,-3.125000,1.000000,1.000000,0.000000
8,3.375000,-3.250000,1.000000,1.000000,0.000000
8,3.375000,-3.375000,1.000000,1.000000,0.000000
8,3.250000,-3.375000,1.000000,1.000000,0.000000
8,3.125000,-3.375000,1.000000,1.000000,0.000000
8,3.000000,-3.375000,1.000000,1.000000,0.000000
8,2.875000,-3.375000,1.000000,1.000000,0.000000
8,2.750000,-3.375000,1.000000,1.000000,0.000000
8,2.625000,-3.375000,1.000000,1.000000,0.000000
8,2.500000,-3.375000,1.000000,1.000000,0.000000
8,2.375000,-3.375000,1.000000,1.000000,0.000000
8,1.625000,-3.375000,1.000000,1.000000,0.000000
5,2.687500,1.531250,0.750000,0.750000,1.570796
8,2.812500,2.031250,1.000000,1.000000,0.000000
8,2.812500,1.906250,1.000000,1.000000,0.000000
8,2.562500,2.031250,1.000000,1.000000,0.000000
8,2.562500,1.906250,1.000000,1.000000,0.000000
8,2.812500,1.781250,1.000000,1.000000,0.000000
8,2.562500,1.781250,1.000000,1.000000,0.000000
8,2.562500,2.156250,1.000000,1.000000,0.000000
8,2.812500,2.156250,1.000000,1.000000,0.000000
5,2.687500,2.406250,0.750000,0.750000,4.712389
8,0.562500,1.718750,1.000000,1.000000,0.000000
1,-1.968750,1.593750,1.000000,1.000000,0.000000
2,6.343750,1.343750,1.000000,1.000000,4.712389
8,5.781250,1.875000,1.000000,1.000000,0.000000
8,5.906250,1.875000,1.000000,1.000000,0.000000
8,5.906250,1.875000,1.000000,1.000000,0.000000
8,6.031250,1.875000,1.000000,1.000000,0.000000
8,6.156250,1.875000,1.000000,1.000000,0.000000
8,6.156250,2.125000,1.000000,1.000000,0.000000
8,6.156250,2.000000,1.000000,1.000000,0.000000
0,4.102293,1.136074,1.000000,1.000000,2.094395
0,4.843750,0.718750,1.000000,1.000000,1.221730
0,3.285363,0.632426,1.000000,1.000000,1.692969
6,4.125000,-0.437500,1.000000,1.000000,3.141593
8,4.625000,-0.125000,1.000000,1.000000,0.000000
8,4.625000,-0.250000,1.000000,1.000000,0.000000
8,6.281250,1.875000,1.000000,1.000000,0.000000
6,1.375000,-3.656250,1.000000,1.000000,3.141593
5,6.156250,-2.031250,1.000000,1.000000,1.570796
4,4.781250,-0.375000,1.000000,1.000000,1.605703
1,4.937500,-0.343750,1.000000,1.000000,5.637414
6,6.468750,0.531250,1.000000,1.000000,1.570796
7,0.281250,-1.187500,1.000000,1.000000,1.570796
8,1.218750,1.343750,1.000000,1.000000,0.000000
8,1.218750,1.718750,1.000000,1.000000,0.000000
8,1.218750,1.593750,1.000000,1.000000,0.000000
8,1.218750,1.468750,1.000000,1.000000,0.000000
8,1.218750,1.093750,1.000000,1.000000,0.000000
8,1.218750,1.218750,1.000000,1.000000,0.000000
8,4.625000,-0.375000,1.000000,1.000000,0.000000
8,4.625000,-0.500000,1.000000,1.000000,0.000000
8,4.625000,-0.625000,1.000000,1.000000,0.000000
7,6.437500,-0.187500,1.000000,1.000000,1.570796
3,-4.922500,-0.475374,1.000000,1.000000,2.949606
2,-7.137419,-0.617007,1.000000,1.000000,0.000000
2,-4.093750,-1.562500,1.000000,1.000000,4.712389
9,-4.436854,-1.972876,1.000000,1.000000,0.000000
9,0.400627,-4.334796,1.000000,1.000000,2.199115
